"Unit","Time","PC","Value"
"18",1,"PC1",7.60378545370675
"18",1,"PC2",9.62322420978521
"18",2,"PC1",15.6277858267741
"18",2,"PC2",22.4930493998738
"18",3,"PC1",23.4519597184242
"18",3,"PC2",36.5730562373547
"18",4,"PC1",33.0654957065149
"18",4,"PC2",50.7601788948773
"18",5,"PC1",42.1265357721294
"18",5,"PC2",65.9750573188262
"18",6,"PC1",51.6383230062612
"18",6,"PC2",80.3743843663313
"18",7,"PC1",60.8943429504244
"18",7,"PC2",97.5535145477019
"18",8,"PC1",71.4501045477456
"18",8,"PC2",114.072748978249
"18",9,"PC1",81.5035183096932
"18",9,"PC2",130.374306797887
"18",10,"PC1",91.3476595714447
"18",10,"PC2",148.420004881611
"18",11,"PC1",100.516350228627
"18",11,"PC2",167.702401851546
"18",12,"PC1",111.335657230961
"18",12,"PC2",186.428514063735
"18",13,"PC1",121.869585607158
"18",13,"PC2",205.231524747402
"18",14,"PC1",133.087897897174
"18",14,"PC2",224.629886270825
"18",15,"PC1",143.05403719459
"18",15,"PC2",245.51228754014
"18",16,"PC1",153.424039885986
"18",16,"PC2",264.363754579195
"18",17,"PC1",164.199155316132
"18",17,"PC2",284.537234338835
"18",18,"PC1",175.2277375982
"18",18,"PC2",304.715038517446
"18",19,"PC1",185.694857821034
"18",19,"PC2",325.069218073552
"18",20,"PC1",196.044662670031
"18",20,"PC2",345.135615929101
"19",0,"PC1",0
"19",0,"PC2",0
"19",1,"PC1",4.81086225305805
"19",1,"PC2",8.94430061818161
"19",2,"PC1",9.80846301521208
"19",2,"PC2",20.1802021517986
"19",3,"PC1",15.8367177161985
"19",3,"PC2",33.579599237926
"19",4,"PC1",21.6562299708227
"19",4,"PC2",44.7087727647138
"19",5,"PC1",28.0580152401313
"19",5,"PC2",59.7110137430104
"19",6,"PC1",35.017533104997
"19",6,"PC2",74.8568786548722
"19",7,"PC1",41.0565277547737
"19",7,"PC2",88.2872390196399
"19",8,"PC1",47.6035400437916
"19",8,"PC2",103.31883390217
"19",9,"PC1",53.8159024328154
"19",9,"PC2",120.637222827122
"19",10,"PC1",61.6156149569952
"19",10,"PC2",135.746724731613
"19",11,"PC1",68.0836160956716
